"1","FAC/DEVIS _ ASP_Réinstallation ","","","","","","","","","","",""," # Projet"," Noms"," Adresse","Ville","Date","Heures","Contact sur place","Code Postal","Commentaires - Printemps 2026","Commentaires - Printemps 2025","Commentaires - Automne 2024","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","","","","","","","","","","Courriel","","Commentaires - Automne  2024","Détail des tapis","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","FALSE","FALSE","FALSE","","  2 140 ","","1347-ET","Édifice SunLife 7e,  8e, 9e, 23,","1155, rue Metcalfe","Montréal","7-8-9 avril","18-22h","","","","","","","Correction d’installation de tapis dans le lobby au 21e étage – le tapis de gauche semble avoir été mis à l’envers de 180 degrés – les deux sections ne sont pas de la même couleur cette année","","FALSE","","","4","","","FALSE","TRUE","FALSE","Lucie.Richard@bentallgreenoak.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","20","  420 ","","1363-ET","Banque Financière Montréal","1155, rue Metcalfe","Montréal","7-8-9 avril","18-22h","","","","","","","","","FALSE","","","","","","FALSE","TRUE","FALSE","lucie.richard@bgo.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","21","  1 030 ","","1320-ET","WADA","800, rue du Square Victoria, 16e et 17e étages","Montréal","10 avril","14h30-16h30","","","Contact: Karine Feddersen  438-869-5139","","","C'est confirmer avec le client par téléphone","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","TRUE","Stephanie.Constantin@wada-ama.org","","plancher blanc a faire plus tôt dans la saison","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","FALSE","FALSE","FALSE","","  890 ","","1312-ET","Place Victoria (tapis de pluie Réinstallation )","800, rue du Square Victoria","Montréal","10-11 avril ","","","","10 avril 17h-22h. 11 avril 10h-22","Personne sur place : Agents de sécurité (Sinon : Jennifer au 514-966-7588)
Stationnement : il y a un stationnement intérieur payant pour les voitures des travailleurs. Sinon, une place est réservée au quai de marchandises pour le camion pour samedi (svp préciser les heures) Hauteur maximale quai 11 pi 4 po.","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","jtousignant@groupepetra.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","330","  13 745 ","1192","1312-ET","Place Victoria (tapis d'hiver)","800, rue du Square Victoria","Montréal","10-11 avril ","","","","10 avril 17h-22h. 11 avril 10h-22","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","jtousignant@groupepetra.com","","","","","","","","","","","","","","","",""
"Bureau","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","300","  4 565 ","","1351-F","Édifice Le Windsor (RDC + SS)","1170, rue Peel","Montréal","12 avril","10h-22h","","","","SVP communiquer avec la sécurité au 514-917-5139 à votre arrivéeDeux cases du stationnement intérieur seront mises à disposition pour la récupération des tapis.
Hauteur MAXIMALE 6’9’’","","","","","","","","","","","TRUE","TRUE","FALSE","Emy.Constantin@bgo.com","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  1 625 ","","1351-F","Édifice Le Windsor (étages)","1170, rue Peel","Montréal","12 avril","10h-22h","","","","","","","","","FALSE","","","","","","TRUE","TRUE","FALSE","Emy.Constantin@bgo.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  4 300 ","","1103-ET","Agence Spaciale Canadienne","6767, route de l'aéroport","Saint-Hubert","14 avril","15h-22h","","J3Y 8Y9","","","","SOUMETTRE LE NOMS DES EMPLOYÉS QUI FERONT L'ENLÈVEMENT DES TAPIS UNE SEMAINE AVANT LA DATE","","","FALSE","","3","5","","","TRUE","TRUE","FALSE","Benoit.Hache@asc-csa.gc.ca;mathieu.gamache@asc-csa.gc.ca","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","TRUE","35","  606 ","","1342-ET","SDC Condo Rêve","4975, rue Jean-Talon Ouest","Outremont","15 avril","12h-13h","","","Demande 6 au 10 avril","Luc Vincelette : (438) 778-7076","","","","","","","","","","","TRUE","TRUE","FALSE","edeloffre@sergicquebec.ca ","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","85","  2 598 ","","1178-ET","6300 ave du Parc","6300, ave du Parc","Outremont","15 avril","13h-16h","","","Contact: Lafleche Tougas 514-928-0577","Personne responsable sur place ou code d'accès  Lafleche Tougas 514-928.0577
Avons-nous accès à un stationnement  oui","","","","","","","","","","","TRUE","TRUE","TRUE","lbeaulieu@Alliedreit.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","90","  1 902 ","","1361-ET","Édifice 5455 de Gaspé","5455, de Gaspé, Montréal","Outremont","15 avril","18h-20h","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","pbeauchamp@Alliedreit.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","70","  1 869 ","","1360-ET","Édifice 5445 de Gaspé","5445, de Gaspé, Montréal","Outremont","15 avril","20h-22h","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","pbeauchamp@Alliedreit.com","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","","","1376-ET","Gare Windsor (3 adresses)","","Montréal","16 avril","16h-21h","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","","","","Édifice 1275 ave des Canadiens de Montréal","","Montréal","16 avril","21h-23h","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  2 066 ","","1382-ET","Domtar ","395, boul. de Maisonneuve O., Montréal","Montréal","17 avril","14h30-17h30","","","Contact: Donald Leblanc  514-246-3767 stationnement au 406 Président-Kennedy porte de livraison ","","","","","","FALSE","","","","","","TRUE","TRUE","TRUE","donald.leblanc@domtar.com","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","TRUE","TRUE","","","  779 ","","1206-ET","TMX","1115, St-Antoine , 17e et 18e étages","Montréal","17 avril","21h-22h","","","","","","","FALSE","","","","","","FALSE","FALSE","TRUE","TRUE","FALSE","martin.verville@tmx.com","","","FALSE","FALSE","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  9 080 ","","1375-ET","Tour Deloitte","1190, ave des canadiens-de-Montréal","Montréal","18 avril","10h-22h","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","vmarmen@canderel.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","","","","Édifice 1250 René Levesque O","","Montréal","19 avril","10h-22h","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","FALSE","FALSE","FALSE","200","  5 654 ","","1309-ET","Upa longeuil ","555, boul. Rolan-Therrien","Longueuil","21 avril","15h-22h","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","hcharbonneau@upa.qc.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","115","  2 077 ","","1316-ET","Novartis ","700, rue St-Hubert, Montréal","Montréal","22 avril","14h30-17h","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","michel.guerin@novartis.com","","manquait tapis #9 et #11 (sur les feuilles mais pas dans rouleaux , à trouver dans l'entrepôt) donc tapis #10 pas installé car entre les deux, #10 entreposé sur place selon directive du client, voir photo","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","1050","  12 419 ","","1273-ET","Complexe Guy Favreau RDC Tout PC inclus ","200, René-Levesque O","Montréal","22-23 avril","17h-23h","","H2Z 1X4","Demande mi-fin avril","***tapis asc2 tour west absent ainsi que les 2 ascenseurs pour stationnement ***","","","6 déc : 1er déc : 4,5 bte moulures Étages 12,11 et 9 - 5 b moulures  / 30 nov : 4.5 boîtes de moulures. Étages, 4 , 5,6 et moulures d'étage 2 et 3  /29 nov : tour Est étages 2 et 3 MANQUE MOULURES CONTOUR / 15 nov : Tour ouest 5 étages de fait / Tous les ascenseurs sont fait sauf #1 tour EST , elle est en panne, reste 4 étages à faire.  Reste tour est à faire / 5 boîtes de moulures / 13 nov : 4h – 2 per – 8 tapes RDC 1+2   ***cube ***","Pc a été changer dû au reno , le total + Aussi calculé le PC des tapis ajouté au RDC 2 Tour","FALSE","","","","","","TRUE","TRUE","FALSE","Angela.Potvin@bgis.com","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","","","1273-ET","Complexe Guy Favreau etages tour est/ouest ","200, René-Levesque O","Montréal","25 avril","10h-22h","","","Demande mi-fin avril","","","","","","FALSE","","","","","","TRUE","FALSE","FALSE","Angela.Potvin@bgis.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","TRUE","459","  4 103 ","","1180-ET","Allied - Viger *tape vert* ","425, Viger Ouest","Montréal","26 avril","10h-22h","","H2Y 3Y7","","ajout laize centrale +918Pc ","","","Client veut soumission pour 6 tapis d'ascenseur et logo","","FALSE","","2","5","","","TRUE","TRUE","TRUE","jcampbell@alliedreit.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","42","  538 ","","1138-ET","Carmichael","3822, ave de Courtrai","Outremont","1 mai","12h-13h","","H3S 1C1","Contact: Barry Fahey 514-777-6737","APRÈS LE 1ER AVRIL ET NE PAS FAIRE LES VENDREDIS","","If there is no choice we will take the 13th of May but not happily. We had originally requested that they be removed mid April every year.","A la demande du client nous avons remplacé les moulures","FAire attention à la réinstallation ces moulures sont bombées.","FALSE","","2","2","","","TRUE","TRUE","FALSE","bfahey@carmichael-eng.ca","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","50","  885 ","","1359-ET","CLSC Outremont","1271, rue Van Horne","Outremont","1 mai","13h-16h30","","","Contact: Huguette St-Pierre 514-770-0774","Catherine Durand à la réception de la clinique.
Le code des portes est  1-3-4","","","","","","","","","","","TRUE","TRUE","TRUE","huguette.stpierre.dlm@ssss.gouv.qc.ca","","Entre 9h et 17h","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","250","  1 436 ","","0743-ET","Collège Stanislas","780, ave Dollard","Outremont","1 mai","16h30-18h","","H2V 3G5","","CONGÉS DU 21 AU 28 AVRIL - Le tapis de l'entrée McEachcran sera jeté par le collège Personne responsable : Nicholas Goodman 438-520-4328
Il y a un stationnement côté parc de la rue Van Horne, au bout des bâtiments.","","Tapis de l'entrée McEachran","* manque tapis entrée MC eachran, n'est pas sur les plans, je crois que c'est une nouvelle installation..","DERNIÈRE SEMAINE D'AVRIL IL N'Y A PAS D'ÉLÈVES","FALSE","","2","4","","","TRUE","TRUE","FALSE","sylvie.marie@stanislas.qc.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","36","  3 418 ","","1274-ET","Allied - 1010 Sherbrooke Est","1010, Sherbrooke Ouest","Montréal","1 mai","18h-22h","","H3A 2R7","","","","","Pas pu installer ascenseur 9 hors d'usage","","","","","","","","TRUE","TRUE","FALSE","bdurand@alliedreit.com","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 080 ","","1341-ET","CSSL (Horizon-Jeunesse)","155, boulevard Ste-Rose, Laval","Laval","En mai ","A venir ","","","","Entrée 10,11, 12 et tapis devant les casiers seulement ","","","","","","","","","","","TRUE","TRUE","FALSE","jfcloutier@csslaval.gouv.qc.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","37","  958 ","","1323-ET","Bibliothèque Maisonneuve","4120, Ontario Est","Montréal-Est ","En mai ","A venir ","","","","jour et heure exacte  a venir  (Lundi, jeudi et vendredi ouvre a midi - mardi et mercredi à 10h00)","","À FAIRE EN AVANT-MIDI LA BIBLIOTHÈQUE OUVRE À 12H","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","marie-eve.leprohon@montreal.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  584 ","","0909-ET","SFM","325, boul. Bouchard","Dorval","En mai ","A venir ","","H9S 1A9","","Changement de dates , prevu le 18 avril mais fermé pour paques ","","","Manque tapis de garde robe #9 et #10 ","Je suis la personne responsable sur place, mais la réceptionniste (Tina Limosani) sera en mesure de répondre à vos question s’il y a lieu. Une carte d’accès n’est pas requise, la réceptionniste vous laissera entrer.","FALSE","","2","2","","","TRUE","TRUE","FALSE","steve.colpron@sfm.ca","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","57","  1 077 ","","1239-ET","CHSLD Dr. Chevrier","700, rue Docteur Chevrier","Saint-Lambert","En mai ","A venir ","","","","À la demande du nouveau responsable Bruno forget, les tapis escaliers A et B laissés sur place et ne feront plus partie du contrat. Total 60 pieds carré en moins","","","","Si vous venez tôt plus facile de trouver un stationnement.","FALSE","","","","","","TRUE","TRUE","FALSE","maintenancechsldstlambert@ls4.ca","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  341 ","","1287-ET","Édifice à bureaux (Expos)","2265, Fernand-Lafontaine","Longueuil","En mai ","A venir ","","J4G 2R8","","","","","","","","","","","","","TRUE","TRUE","FALSE","gcote@prio.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","FALSE","TRUE","TRUE","","  525 ","","0782-ET","Bernard et Brassard #300 *tape vert* ","2265, boul. Fernand-Lafontaine","Longueuil","En mai ","A venir ","","J4G 2R8","NE PAS OUBLIÉ L'AJOUT DU HALL DES ASCENSEURS","NE PAS FACTURER LE CLIENT POUR LE PLANCHER DE BOIS ABÎMER","","La cliente demande à ce qu’il y ai toujours du tape vert où il y a le plancher de bois, puisque sinon ça enlève la pellicule de protection transparente sur le bois.","","Il est à noter que nous avons des tapis à retirer sur les 2 étages (3e et 4e) de nos bureaux et qu’il ne faudrait pas oublier cette année de retirer le tapis qui se trouve dans le vestiaire du 4e étage. - Geneviève PIcard 450-321-0257","FALSE","","1","1","","","TRUE","TRUE","FALSE","Gpicard@bernard-brassard.com","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  156 ","","1230-ET","Bédard Ressources #310","1575, boul. de l'Avenir","Laval","En mai ","A venir ","","H7S 2N5","","Stationnement Oui : Christiane (514) 261-1067","","","","Melissa Célissaint 514-212-2230 #360","FALSE","","","4","","","TRUE","TRUE","FALSE","christiane@bedardressources.com","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  282 ","","1207-ET","Uvée- Optométriste de Quartier","1668, rue Laurier Est","Montréal","En mai ","A venir ","","H2J 1J2","","","","","","pas de stationnment assigné","FALSE","","1","1","","","TRUE","TRUE","FALSE","alex-anne.harvey@uvee.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","8","  360 ","","1343-ET","Edifice 1555 de l'Avenir","1555, boul. de l'Avenir, Laval","Laval","En mai ","A venir ","","","","Cathy: 450-436-8985","","","","","","","","","","","TRUE","TRUE","FALSE","cathyboucher@groupechameleon.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","8","  498 ","","1344-ET","Edifice 1565 de l'Avenir","1565, boul. de l'Avenir, Laval","Laval","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","cathyboucher@groupechameleon.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","20","  924 ","","1345-ET","Edifice 1575 de l'Avenir","1575, boul. de l'Avenir, Laval","Laval","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","cathyboucher@groupechameleon.ca","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","13","  1 030 ","","1001-ET","Édifice E  ","3310, 100e Avenue","Laval","En mai ","A venir ","","H7T 0J7","","M. Serge Boyer. Vous pouvez le rejoindre au (514) 793-2540.","","","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","dbourgault@e-propri-gestion.com","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 520 ","","0979-ET","Le Seva","300, rue de Sarcelle","Candiac","En mai ","A venir ","","J5R 0S9","","","","","","Vous pourrez vous stationner sur le côté de la résidence, sur la rue Sarcelle près du IGA. On installera des cônes pour vous faciliter l’accès.","FALSE","","2","2","","","TRUE","TRUE","FALSE","cse@residenceseva.com","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 385 ","","1229-ET","Le Boréa","61, 54e avenue Est","Blainville","En mai ","A venir ","","","","","","","Manque tapis ascenseur - Fait","André Laplante 450-508-8073","FALSE","","","","","","TRUE","TRUE","FALSE","cse@residenceborea.com","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","39","  1 035 ","","0970-ET","Les Jardins Windsor PH4","651, rue de la Montagne","Montréal","En mai ","A venir ","","H3C 0G2","Tapis fini - en attente du paiement - NE PAS FAIRE L'ENLÈVEMENT POUR LE MOMENT","","","","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","guy.gervais@gmail.com","","","","","","","","","","","","","","","",""
"","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","130","  455 ","","1380-ET","Villa Opale","650, 32e avenue","Lachine","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","chantal.pelletier@lokia.ca","","","","","","","","","","","","","","","",""
"Condo","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","  2 348 ","","1378-ET","Le Novia","300, place Charles Lemoyne","Longueuil","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","service@lenovia.ca","","","","","","","","","","","","","","","",""
"Bureau","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  314 ","","1282-ET","Transition Centre-Sud","1819, boul. Rosemont","Montréal-Est ","En mai ","A venir ","","H2G 1S5","Communiquer avec Nathalie Daniel ndaniel@transitioncentresud.ca","jour et heure exacte  a venir ","","JE NE PEUX PAS ROMPRE LE SERVICE D'ENTRETIEN PARCE  CE CLIENT","","","","","","","","","TRUE","TRUE","FALSE","jdeslauriers@transitioncentresud.ca","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","20","  535 ","","1003-ET","Promenade du Parc","1920, rue Adoncour","Longueuil","En mai ","A venir ","","J4N 1T4","","André Bissonnette 450-649-0648 ou Denise Leroux 514-795-4064","","","Il manque un tapis d’hiver du côté sud de l’immeuble","Le stationnement est disponible en face des portes principales de l’immeuble","FALSE","","2","1","","","TRUE","TRUE","FALSE","lespromenadesduparc@laucandrique.net","","","","","","","","","","","","","","","",""
"Bureau","","FALSE","","FALSE","TRUE","","TRUE","FALSE","FALSE","20","  528 ","","1328-ET","KOTV","300, Place Charles-Lemoyne, bureau 200","Longueuil","En mai ","A venir ","","","","Au 1245 Bleury vous pouvez vous stationner dans la cour intérieure.","","","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","imartin@kotv.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  570 ","","1330-ET","Académie de Danse de Montréal","8265, Boul. Langelier","St-Léonard","En mai ","A venir ","","","","Melanie Hattem will be on location,Yes there is parking ","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","jeffdichter1@gmail.com","","**manque tapis #2 et #6 (était sur feuille mais pas dans rouleau. Voir photos. Tapis #5 trop court (devrait avoir deuxième morceaux mais pas sur plan . Manque environ 7 pieds. Tapis 2A j'ai laissé à l'entrepôt car mini tapis besoin du #2 pour installer ***  IL FAUT APPELER LE CLIENT AVANT DE PASSER PARCE QUE L'HORAIRE N'EST PAS FIXE.","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","96","  1 736 ","","1318-ET","7227 boul. Newman SDC ","7227, boul. Newman","Montréal","En mai ","A venir ","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","lenewman@gestionbrt.com","","14/05/2025:  Il veut une date de réinstallation le 1er novembre 2025","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  526 ","","1247-ET","TAK Phase 6 ","4801, 2e avenue","Montréal","En mai ","A venir ","","","","","","","","","FALSE","","","","","","TRUE","TRUE","FALSE","alexandre.srougi@solutioncondo.com","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  778 ","","1263-ET","TAK phase 1","4820, 4e Avenue","Montréal","En mai ","A venir ","","H1Y 2T8","2025 PC 950"," la personne sur place sera Manuel que vous pourrez contacter au : 514 546 9643
Ou récupérer les clés situées dans la boite à clés à l’entrée de l’immeuble : code 2308","","","","et tak 1 950 Pc ???? Courriel Guylaine 8 mai 23 : 778pc","FALSE","","","6","","","TRUE","TRUE","FALSE","alexandre.srougi@solutioncondo.com","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  308 ","","1371-ET","Dynatherm","4127, rue Cousens, Saint-Laurent","Richard Ross","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","tbianco@dynatherm.ca","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  702 ","","1197-ET","CPE Coeur de l'Île","2830, rue Gilford","Montréal","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","mhoule@cpeile.com","","","","","","","","","","","","","","","",""
