"Édifice","","TRUE","FALSE","2838","FALSE","TRUE","FALSE","2916","TRUE","TRUE","329,6","  14 553 ","1192","1312-ET","Place Victoria","800, rue du Square Victoria","","","11-21h","Jennifer Tousignant","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","jtousignant@groupepetra.com","","","","","","","","","","","","","","","","","","","","",""
"Bureau","","TRUE","FALSE","2888","FALSE","TRUE","TRUE","2916","TRUE","TRUE","","","638","1321-ET","Gestion Sandanna","1, Westmount Square, bureau 2000","Montréal","29 mai","14-16h","Nathalie Bécot  514-937-7741 p4640","à partir de 6h00 am","","","","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","nbecot@peloquinkattan.com","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2839","FALSE","TRUE","TRUE","2916","FALSE","FALSE","","  394 ","","0782-ET","Bernard et Brassard #300","2265, boul. Fernand-Lafontaine","Longueuil","29 avril","16h-16h45","réceptionniste, Mme Danielle Boisvert, au 3e étage;","La cliente demande à ce qu’il y ai toujours du tape vert où il y a le plancher de bois, puisque sinon ça enlève la pellicule de protection transparente sur le bois.","","Il est à noter que nous avons des tapis à retirer sur les 2 étages (3e et 4e) de nos bureaux et qu’il ne faudrait pas oublier cette année de retirer le tapis qui se trouve dans le vestiaire du 4e étage. - Geneviève PIcard 450-321-0257","J4G 2R8","FALSE","","1","1","","","TRUE","TRUE","FALSE","FALSE","Gpicard@bernard-brassard.com","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Édifice","","FALSE","FALSE","2888","TRUE","TRUE","TRUE","2916","TRUE","TRUE","","  354 ","","1267-ET","Héma-Québec, Dix-30 -  #30","9370, boul. Leduc","Brossard","24 mai","16h-17h","2023 : nettoyer en entrepôt + entreposage   Michel Grenier au 438-867-0951 ou Sylvain Lalonde (514) 266-3972","JETER LES TAPIS","","","J4Y 0B3","FALSE","","1","1","","","TRUE","FALSE","FALSE","FALSE","JeanGauthier.Kouadjo@hema-quebec.qc.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2830","FALSE","TRUE","FALSE","2916","TRUE","TRUE","","  5 654 ","","1309-ET","upa longeuil ","555, boul. Roland-Therrien","Longueuil","19 avr.","11h-16h","Hélène Charbonneau 450-679--0540","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","hcharbonneau@upa.qc.ca","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2909","TRUE","TRUE","TRUE","2916","TRUE","TRUE","","  1 004 ","","1213-ET","Centre d'intégration Scolaire","8844, rue Notre-Dame Est","Montréal","21 juin","","Sylvain Langlois","","","","H1L 3M4","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","ychouinard@cisi.qc.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","FALSE","FALSE","2849","FALSE","TRUE","TRUE","2916","TRUE","TRUE","","  720 ","","0964-ET","Centre de médecine sportive","4650, desserte S, Autoroute 440","Laval","8 mai","9h-10h","serge morin 514 618-3500","","","Entreposage seulement","H7T 2Z8","FALSE","","2","2","","","TRUE","TRUE","FALSE","FALSE","sergemorin@cmslaval.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","FALSE","FALSE","2849","FALSE","TRUE","TRUE","2916","TRUE","FALSE","","  528 ","","0968-ET","Clinique Chirurgicale de Laval","4650, desserte S, Autoroute 440","Laval","8 mai","10h-11h","serge morin 514 618-3500","Tapis arrière n'a pas été enlevé car trop de choses dessus","Surcharge de 25$ par client pour changement d'horaire fait le même jour","Tapis déjà lavé et roulé, seulement les entreposer.","H7T 2Z8","FALSE","","1","1","","","TRUE","TRUE","FALSE","FALSE","sergemorin@cmslaval.com","","","FALSE","FALSE","TRUE","","***CHANGER LAIZE DE TAPIS À L'AUTOMNE***","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2829","FALSE","TRUE","TRUE","2916","TRUE","FALSE","","  2 675 ","","1251-ET","Facility Tour Deloitte ","115 Saint-Antoine ","Montréal ","12 avril","13-15h","Jean-Pierre  514 592 9119","INSTALLER LES TAPIS DE PLUIE 12 juillet 2024","Paul André Rivest qui assurait la coordination ne pourra plus le faire. Je serai votre point de contact pour le moment Soh Seppowo Martin Gabriel","5e ÉTAGE AVEC UN TAPE VERT *** plancher de pierre.  À FAIRE UN LUNDI OU VENDREDI À PARTIR DE 16H - RÉINSTALLER 2 TAPIS AU ","","FALSE","","","","","","TRUE","TRUE","FALSE","FALSE","jvenne@deloitte.ca","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Bureau","","TRUE","FALSE","2857","FALSE","TRUE","TRUE","2916","TRUE","TRUE","30","  234 ","","","LDC Logistics","1002, rue Sherbrooke O., Suite 2000","Montréal","16 mai","15h ","France Lapres","A FAIRE","","","","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","flapres@MetroSCG.com","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2830","FALSE","TRUE","FALSE","2916","TRUE","TRUE","","  1 923 ","","1189-ET","Musée Pointe-à-Callière","350, Place Royale","Montréal","15 avril","11h-14h","Suleyman 514-983-6149","","","Diminué PC pour retrait et nettoyage déja fait : tout l'éperon (sont roulés et numérotés) 1923pc originalement  Sur la rue de la Commune (place de livraison quoi de chargement, à côté de l’édifice L’éperon)","H2Y 3Y5","FALSE","","2","3","","","TRUE","TRUE","FALSE","FALSE","Isabelle.Vermette@gdi.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Commerce","","TRUE","FALSE","2888","FALSE","TRUE","TRUE","2916","TRUE","TRUE","","  937 ","","","West Spa + Salon Augustin","4655 Boul St-Jean, suite 202, D.D.O.","Montréal","27 mai","10h","Nathalie Bédard","A FAIRE   ADRESSE COURRIEL À VÉRIFIER","","","","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","nemco@bell.net","","","","","","","","","","","","","","","","","","","","",""
"Commerce","","TRUE","FALSE","2888","FALSE","TRUE","TRUE","2916","TRUE","TRUE","","  367 ","","1329-ET","UV Quartier Villeray","682, rue Jarry Est","Montréal","27 mai","12h","Olivier Parenteau","","","","","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","olivier.parenteau@uvee.ca","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2888","FALSE","TRUE","TRUE","2916","TRUE","TRUE","","  611 ","","1211-ET","1310 Ontario Est","1310, rue Ontario Est","Montréal","27 mai","13h","Marco Cannizzaro 514 812-2650
","","","Ne pas nettoyer les tapis parce qu'ils ont été fait le 1er mars 2023 sur place","","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","info@constructionmarcan.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Bureau","","FALSE","FALSE","2888","FALSE","TRUE","TRUE","2916","TRUE","TRUE","","  528 ","","1328-ET","KOTV","300, Place Charles-Lemoyne, bureau 200","Longueuil","27 mai","15h","Isabelle Martin 514.244.4208","","","","","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","imartin@kotv.ca","","","","","","","","","","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2888","FALSE","TRUE","TRUE","2916","TRUE","TRUE","78","  760 ","","1327-ET","CCRL Laurentides","325 Rue du Docteur-Charles-Léonard, ","St-Jérôme","27 mai","14h30","Marie-Gabrielle Beaudry","","","","","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","mgbeaudry@ccrlaurentides.com","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2830","FALSE","TRUE","TRUE","","FALSE","FALSE","","  4 696 ","","1169-ET","Le Windsor","1170, rue Peel","Montréal","19 avril","17-21h","2023 : nettoyer en entrepôt","aucun évènement le 19 avril                                                                   NE PAS ENLEVER LES TAPIS DANS LA SORTIE CYPRESS","***   9,5 boîtes de moulures neuves    ***  travail nécessaire pour compléter l’installation des tapis au Windsor (les lobby du 6e-7e-8e et 9e étage n’ont pas été fait).  /  Les moulures ne collent pas car ils sont plein de colle recto verso  Paul André Rivest qui assurait la coordination ne pourra plus le faire. Je serai votre point de contact pour le moment Soh Seppowo Martin Gabriel Impossible voir courriel pour date dispo","","H3B 0A9","FALSE","","4","8","","","TRUE","TRUE","FALSE","FALSE","Lucie.Richard@bentallgreenoak.com","","","FALSE","FALSE","TRUE","Plus transport","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2829","FALSE","TRUE","TRUE","","FALSE","FALSE","","  649 ","","1227-ET","Édifice SunLife  21e étage","1155, rue Metcalfe","Montréal","14 avril","11-21h","","","Correction d’installation de tapis dans le lobby au 21e étage – le tapis de gauche semble avoir été mis à l’envers de 180 degrés – les deux sections ne sont pas de la même couleur cette année","","","FALSE","","","4","","","TRUE","FALSE","FALSE","FALSE","Lucie.Richard@bentallgreenoak.com","","","FALSE","FALSE","FALSE","Plus transport","manque tapis sortie st martin ","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2829","FALSE","TRUE","TRUE","","FALSE","FALSE","","  8 796 ","","1227-ET","Sunlife ","1155, rue Metcalfe","Montréal","14 avril","11-21h","La partie en vert avec les étages 8796 pc.","","Reste moulures devant ascenseur à poser / Bureau # 20 fait","Jan : ramasse tapis- 17320pc -  facturé - crédit 6,570pc sur facture 2513 ","H3B 2V6","FALSE","","","","","","TRUE","TRUE","FALSE","FALSE","Lucie.Richard@bentallgreenoak.com","","","FALSE","FALSE","FALSE","2 gars / 3h + transport","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","DÉJÀ FACTURÉ","","","","","","","","","","","","","","","","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2830","FALSE","TRUE","TRUE","","FALSE","FALSE","","  2 515 ","","0962-ET","1600 Rene Levesque O","1600 Rene Levesque O","Montréal","18 avril","18h-21h","","À PARTIR DE 17H30","","","H3H 2V2","FALSE","","2","4","","","TRUE","TRUE","FALSE","FALSE","Clemence.Cabanis@bgo.com","","","FALSE","FALSE","TRUE","Plus transport","","","FALSE","","","","","","","","","","","",""
"","","TRUE","FALSE","2838","FALSE","TRUE","FALSE","2899","TRUE","TRUE","21","1030","","1320-ET","WADA","800 du Square Victoria, 16e et 17e étages","Montréal","27 avril","11h-21h","mariela.rolon@wada-ama-org","C'est confirmer avec le client par téléphone","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","mariela.rolon@wada-ama-org","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2839","FALSE","TRUE","FALSE","2899","TRUE","TRUE","115","2077","","1316-ET","Novartis ","700 rue St-Hubert, Montréal","","3 mai","13h-16h30","Michel Guérin","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","michel.guerin@novartis.com","","","","","","","","","","","","","","","","","","","","",""
"Résidences","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  1 154 ","","1209-ET","Résidence Vast (tapis pluie?)","300, rue de Murano","Sainte-Julie","9 mai","10h15-11h45","Patrice, 438-408-9367","120PC tapis pluie logo - Inclus dans le service depuis +sieurs années svp penser à facturer pour les années suivantes","","A FAIRE LE PLUS RAPIDEMENT POSSIBLE","J3E 0C6","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","cse@residencevast.com","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2857","FALSE","TRUE","FALSE","2899","TRUE","TRUE","","  325 ","","0743-ET","Collège Stanislas","780, boul. Dollard","Outremont","15 mai","7h30","Martin Ducharme   : 325 inclus dans le retrait FACTURÉ NETTOYAGE, ENTREPOSAGE ET INSTALLATION","Tapis de l'entrée McEachran","* manque tapis entrée MC eachran, n'est pas sur les plans, je crois que c'est une nouvelle installation..","DERNIÈRE SEMAINE D'AVRIL IL N'Y A PAS D'ÉLÈVES","H2V 3G5","FALSE","","2","4","","","TRUE","FALSE","FALSE","FALSE","sylvie.marie@stanislas.qc.ca","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","23","879","","1195-ET","Cloria Vallée du Richelieu","4305, chemin du Crépuscule","Beloeil","9 mai","12h-13h","Nicole Veilleux pour vous ouvrir au 450-685-1114 ou au logement #309","","Bonjour, je suis la personne ressource pour Cloria Vallée du Richelieu _ Normand St-Denis, vous pouvez aussi inscrire Mr. Philippe Turcotte 514-250-5456 au philippeturcotte@cloriacite.ca ,","787+92  -  louraymond@cloriacite.ca","J3G 0R2","FALSE","","2","2","","","TRUE","TRUE","FALSE","FALSE","normandstdenis@cloriacite.ca","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","FALSE","2829","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  1 385 ","","1229-ET","Le Boréa","61 54e avenue Est","Blainville","9 avril","12h-13h30","André Laplante 514-604-4307","","Manque tapis ascenseur - Fait","André Laplante 450-508-8073","","FALSE","","","","","","TRUE","TRUE","FALSE","FALSE","cse@residenceborea.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2829","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  576 ","","0948-ET","Place des Tourelles I, Boisbriand","3655, des Grandes Tourelles","Boisbriand","9 avril","15h45-16h45","José Cauchon au 514-243-4353.","","","","J7H 1M9","FALSE","","2","1","","","TRUE","TRUE","FALSE","FALSE","mclavoie@alcovicapital.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","FALSE","2838","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  1 520 ","","0979-ET","Le Seva","300, rue de Sarcelle","Candiac","26 avril","11h30-13h30","Benoit ou à la réception","","","Vous pourrez vous stationner sur le côté de la résidence, sur la rue Sarcelle près du IGA. On installera des cônes pour vous faciliter l’accès.","J5R 0S9","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","cse@residenceseva.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Commerce","","TRUE","FALSE","2839","FALSE","TRUE","FALSE","2899","TRUE","TRUE","33","  1 235 ","","1319-ET","Club MAA","2070, rue Peel, Montréal","Dolores Abreu","2 mai","15h30","Dolores Abreu","AJOUT POUR LE SERVICE D'ENTRETIEN(si possible sermaine du 15 avril)","","","","","","","","","","TRUE","FALSE","FALSE","FALSE","dabreu@clubsportifmaa.com;pblanchet@clubsportifmaa.com","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2821","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  584 ","","0909-ET","SFM","325, boul. Bouchard","Dorval","2 avril","16-17h","Steve Colpron 514-780-2070 #2304","","Manque tapis de garde robe #9 et #10 ","Je suis la personne responsable sur place, mais la réceptionniste (Tina Limosani) sera en mesure de répondre à vos question s’il y a lieu. Une carte d’accès n’est pas requise, la réceptionniste vous laissera entrer.","H9S 1A9","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","steve.colpron@sfm.ca","","","FALSE","FALSE","TRUE","","Manque tapis devant les ascenseurs du sous-sol + ascenseur A2.  Moulure à corrigée","","FALSE","","","","","","","","","","","",""
"Résidences","","FALSE","FALSE","2821","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  2 446 ","","0690-ET","Lilo","105, boul. Don Quichotte","Île Perrot","2 avril","7-9-h30","Alain Harisson 514-600-2076","","manque les 3 tapis d’ascenseurs.","","J7V 6X2","FALSE","","3","3","","","TRUE","FALSE","FALSE","FALSE","cse@residencelilo.com","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2821","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  669 ","","1245-ET","Héma-Québec","16 993 Transcanadienne ","Kirkland","2 avril","13h30-14h30","Syntia Montembeault au 514-217-5708 ou Louisa Charles-Pierre : (438) 869-2117","","","","H4R 2W7","FALSE","","","7","","","TRUE","FALSE","FALSE","FALSE","JeanGauthier.Kouadjo@hema-quebec.qc.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","43","  265 ","","0786-ET","Clinique Uniderma","1575, boul. de l'Avenir","Laval","7 mai","12h-16h","","***COMMENCER PAR LA CLINIQUE EN PREMIER LE 7 MAI***","","","H7S 2N5","FALSE","","1","1","","","TRUE","TRUE","FALSE","FALSE","drejodoin@uniderma.ca","","","FALSE","FALSE","TRUE","INSTALLATION DE MOULURES","","20 oct.","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  500 ","","1151-ET","1565 de l'Avenir","1565, de l'Avenir","Laval","7 mai","12h-16h","514-557-6100 Cathy gestionnaire","","","","H7S 2N5","FALSE","","2","2","","","TRUE","TRUE","FALSE","FALSE","cathyboucher@groupechameleon.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  345 ","","1152-ET","1555 de l'Avenir","1555, de l'Avenir","Laval","7 mai","12h-16h","514-557-6100 Cathy gestionnaire","","","","H7S 2N5","FALSE","","2","2","","","TRUE","TRUE","FALSE","FALSE","cathyboucher@groupechameleon.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  700 ","","1153-ET","1575 de l'Avenir","1575, de l'Avenir","Laval","7 mai","12h-16h","514-557-6100 Cathy gestionnaire","","Manque tapis ascenseur = fait","","H7S 2N5","FALSE","","2","2","","","TRUE","TRUE","FALSE","FALSE","cathyboucher@groupechameleon.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2849","FALSE","TRUE","FALSE","2899","TRUE","TRUE","23,7","  262 ","","1322-ET","Ortho-Laval - Dr. Jean-Marc Dumoulin","1575 boul. de l'Avenir, 3e étage","Laval","7 mai","12h16h","Lise Rivard ","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","lrivard@ortholaval.com","","","","","","","","","","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  530 ","","0981-ET","Traditours","1575, de l'Avenir","Laval","7 mai","12h-16h","Gabriel Talbot","","","","H7S 2N5","FALSE","","1","1","","","TRUE","FALSE","FALSE","FALSE","info@traditours.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","43,5","  446 ","","1288-ET","CHSLD Val des Brises","3155, boul. Michel-Ange","Laval","7 mai","16h-17h","José Cauchon au 514-243-4353","","","","H7E 0J1","","","","","","","TRUE","TRUE","FALSE","FALSE","mclavoie@alcovicapital.com","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","3,5","  475 ","","0977-ET","Dr. Barolet, 2e étage","3333, 100e Avenue","Laval","8 mai","15h-16h","Geneviève Chaput","",""," ","H7T 3C4","FALSE","","1","1","","","TRUE","FALSE","FALSE","FALSE","info@cliniquedrdanielbarolet.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","13","  1 030 ","","1001-ET","Édifice E","3310, 100e Avenue","Laval","8 mai","11h30-13h","Serge Boyer au (514) 793-2540","","","","H7T 0J7","FALSE","","2","2","","","TRUE","FALSE","FALSE","FALSE","dbourgault@e-propri-gestion.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"","","FALSE","FALSE","2849","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  536 ","","1286-ET","CEOM (suite 100-145)","4650, desserte S, Autoroute 440","Laval","8 mai","8h30-9h","Charles Olivier Moreau  gestionnaire médical cell. 514-980-2306 _ charles-olivier.moreau@cmslaval.com","","Impossible de faire , j'ai parler avec le gestionnaire, il préfère en fin d'après midi . C'est un immeuble médical, beaucoup de circulation. Il est d'accord pour une surcharge pour le changement d'horaire, mohamed vas le faire se soir seul .","Entreposage seulement","H7T 2Z8","FALSE","","","","","","TRUE","TRUE","FALSE","FALSE","sergemorin@cmslaval.com","","","","","TRUE","","","","","","","","","","","","","","","",""
"Commerce","","TRUE","FALSE","2880","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  156 ","","1230-ET","Bédard Ressources #310","1575, boul. de l'Avenir","Laval","21 mai","10h","Christiane Leroux, notre réceptionniste","","","Melissa Célissaint 514-212-2230 #360","H7S 2N5","FALSE","","","4","","","FALSE","FALSE","FALSE","FALSE","melissa@bedardressources.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2880","FALSE","TRUE","TRUE","2899","TRUE","TRUE","34","  1 263 ","","1233-ET","Sunwing","3105 Place Louis R-Renaud","Laval","21 mai","9h45-10h45","Julien Char  514 557-2489","Ajout entrée arrière 360,8 + 903","Manque 4 tapis  = fait","","H7V 0A3","FALSE","","","8","","","TRUE","TRUE","FALSE","FALSE","jchar@sunwing.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2880","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  849 ","","1232-ET","Vacances Sunwing","3105 Place Louis R-Renaud","Laval","21 mai","10h45-1145","Julien Char  514 557-2489","","","","H7V 0A3","FALSE","","","8","","","TRUE","TRUE","FALSE","FALSE","jchar@sunwing.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","FALSE","2857","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  658 ","","1231-ET","Le Maritime","3040, boul. Lévesque Ouest","Laval","17 mai","16h-17h","M. Sylvain Laliberté au 514-979-9208","","","Nathalie Mora 514-984-6206","H7V 2G3","FALSE","","","","","","TRUE","TRUE","FALSE","FALSE","maritime1@videotron.ca","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","FALSE","2857","FALSE","TRUE","TRUE","2899","TRUE","TRUE","","  400 ","","1238-ET","SDC 2910 Edouard Montpetit","2910, Edouard Montpetit","Laval","17 mai","14h-15h","Alain, Jocelyne ou bien Jad","","","M. Jad Mammo membre du syndicat va être sur place. Il pourra vous donner accès à l’immeuble son numéro +1 (514) 632-6450 
Oui vous avez accès au stationnement extérieur devant l’immeuble.
alain Maksoud 514-865-4897  Condo 601","H7T 2T5","FALSE","","","4","","","TRUE","FALSE","FALSE","FALSE","sslax@hotmail.com","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
