"dd","FAC/DEVIS _ ASP_Réinstallation ","Réinstallation","FAC/DEVIS _ ASP_retrait","Rebut","Retrait","FAC/DEVIS _ ASP_nett+entreposage","entreposage","Nettoyer entrepôt"," TAPE VERT "," Moulures "," PC "," Carreaux "," # Projet"," Noms"," Adresse","Ville","BLEU : JOUR   GRIS : SOIR        DATE Réinstallation","Heures","Contact sur place","Code Postal","Commentaires - Automne 2025","Commentaires - Printemps 2025","Commentaires - Automne 2024","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","Pickup fait","pickup/ref","Nbr gars","H/ins ","moulure "," Moulure à changer ","Courriel envoyé","Confirmation","Confirmation des dates de RDV","Courriel","","Commentaires - Automne  2024","Détail des tapis","Fact #","Nettoyer","Payer ","Sola Facture ","Ajustement à faire","Date prévue","Fait","","","","","","","","","","","",""
"Édifice médical","3266","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  1 014 ","","1279-ET","Académie Lavalloise","5290, boul. des Laurentides","Laval","8 octobre","7h-12h","","H7K 2J8","","La personne responsable sera Mme Patrizia à la réception.","","","J'ai dû couper des tapis car les portes ne fermaient plus et aux extrémités car les tapis ont rallongés","","","","","","","","TRUE","FALSE","TRUE","anthony.lacopo@academielavalloise.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3266","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","8","  360 ","","1343-ET","Edifice 1555 de l'Avenir","1555, boul. de l'Avenir, Laval","Laval","8 octobre","7h-12h","","","","Cathy: 450-436-8985","","","","","","","","","","","TRUE","FALSE","TRUE","cathyboucher@groupechameleon.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3266","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","8","  498 ","","1344-ET","Edifice 1565 de l'Avenir","1565, boul. de l'Avenir, Laval","Laval","8 octobre","7h-12h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","cathyboucher@groupechameleon.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3266","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","20","  924 ","","1345-ET","Edifice 1575 de l'Avenir","1575, boul. de l'Avenir, Laval","Laval","8 octobre","7h-12h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","cathyboucher@groupechameleon.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Commerce","3266","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  156 ","","1230-ET","Bédard Ressources #310","1575, boul. de l'Avenir","Laval","8 octobre","7h-12h","","H7S 2N5","","Stationnement Oui : Christiane (514) 261-1067","","","","Melissa Célissaint 514-212-2230 #360","FALSE","","","4","","","TRUE","FALSE","TRUE","christiane@bedardressources.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3266","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","24","  262 ","","1322-ET","Ortho-Laval - Dr. Jean-Marc Dumoulin","1575 boul. de l'Avenir, 3e étage","Laval","8 octobre","7h-12h","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","clinique@ortholaval.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3266","TRUE","3193","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  400 ","","1238-ET","Cours Centrale Phase 2","2910, Edouard Montpetit","Laval","9 octobre","7h-12h","","H7T 2T5","","2 grosses taches sur les tapis, 1 dans l'entrée et l'autre dans le garage","","","","M. Jad Mammo membre du syndicat va être sur place. Il pourra vous donner accès à l’immeuble son numéro +1 (514) 632-6450 
Oui vous avez accès au stationnement extérieur devant l’immeuble.
alain Maksoud 514-865-4897  Condo 601","FALSE","","","4","","","TRUE","FALSE","FALSE","sslax@hotmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Bureau","3266","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  314 ","","1282-ET","Transition Centre-Sud","1819, boul. Rosemont","Montréal-Est ","9 octobre","7h-12h","","H2G 1S5","","jour et heure exacte  a venir ","","JE NE PEUX PAS ROMPRE LE SERVICE D'ENTRETIEN PARCE  CE CLIENT","","","","","","","","","TRUE","FALSE","TRUE","jdeslauriers@transitioncentresud.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3266","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","37","  898 ","","1323-ET","Bibliothèque Maisonneuve","4120, Ontario Est","Montréal-Est ","9 octobre","7h-12h","","","","jour et heure exacte  a venir  (Lundi, jeudi et vendredi ouvre a midi - mardi et mercredi à 10h00)","","À FAIRE EN AVANT-MIDI LA BIBLIOTHÈQUE OUVRE À 12H","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","marie-eve.leprohon@montreal.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3266","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  778 ","","1263-ET","TAK phase 1","4820, 4e Avenue","Montréal","9 octobre","12h-17h","","H1Y 2T8",""," la personne sur place sera Manuel que vous pourrez contacter au : 514 546 9643
Ou récupérer les clés situées dans la boite à clés à l’entrée de l’immeuble : code 2308","","","","et tak 1 950 Pc ???? Courriel Guylaine 8 mai 23 : 778pc","FALSE","","","6","","","TRUE","FALSE","TRUE","alexandre.srougi@solutioncondo.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidences","3266","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  1 520 ","","0960-ET","Résidence Station Est","4800 rue Contrecoeur, Montréal","Montréal","10 octobre","7h-12h","","","","","","","","","FALSE","","2","3","","","TRUE","FALSE","TRUE","cse@residencestationest.com","","**il manquait des moulures, 1 boîte neuve utilisée ***","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3270","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  720 ","","0964-ET","Centre de médecine sportive","4650, desserte S, Autoroute 440","Laval","7 octobre","7h-12h","","H7T 2Z8","Pas pu installer bureaux 100 et 145 (rénovations faites, lieux totalement différents) Médecine sportive : nous n'avons pas installé tapis #5 et 5A car moisis (il y avait seulement un tour de wrap dans le milieu donc possiblement pas nettoyés) À nettoyer au camion usine à l'entrepôt) ***petits tapis***","","","","","Entreposage seulement","FALSE","","2","2","","","TRUE","FALSE","TRUE","gestionnaire.clinique@gmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3270","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","13","  1 030 ","","1001-ET","Édifice E  --  120$ 2e déplacement","3310, 100e Avenue","Laval","7 octobre","7h-12h","","H7T 0J7","le deuxièmes travaux en cour , tapis laissé sur place","M. Serge Boyer. Vous pouvez le rejoindre au (514) 793-2540.","","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","dbourgault@e-propri-gestion.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidences","3270","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  1 520 ","","0979-ET","Le Seva","300, rue de Sarcelle","Candiac","13 octobre","12h-17h","","J5R 0S9","","","","","","Vous pourrez vous stationner sur le côté de la résidence, sur la rue Sarcelle près du IGA. On installera des cônes pour vous faciliter l’accès.","FALSE","","2","2","","","TRUE","FALSE","FALSE","cse@residenceseva.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3270","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  1 315 ","","1165-ET","Northcrest - SDC6301 (tapis pluie?)","6301 rue Northcrest","Outremont","13 octobre","7h-12h","","H3S 2W3","","","","Tapis permanent à changer courriel envoyé 11 avril   Installer les tapis de pluie","Ascenseur LM pas installé, hors fonction tapis laisser sur place  FAIT","entretien@syndicatnorthcrest.ca     Paul 514-773-4660","FALSE","","2","2","","","TRUE","FALSE","FALSE","gestionnaire@syndicatnorthcrest.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3270","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  759 ","","1166-ET","Northcrest - SDC6300 (tapis pluie?)","6300 rue Northcrest","Outremont","13 octobre","7h-12h","","H3S 2W3","","","","Tapis permanent à changer courriel envoyé 11 avril","","entretien@syndicatnorthcrest.ca     Paul 514-773-4660","FALSE","","2","1","","","TRUE","FALSE","FALSE","gestionnaire@syndicatnorthcrest.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3270","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  658 ","","1231-ET","Le Maritime","3040, boul. Lévesque Ouest","Laval","14 octobre","12h-17h","","H7V 2G3","Le client veut de nouveau tapis pour le ss1 et ss2 2 morceau de 75 pouce par 6.6 et des moulure pour les asc il dit que l’année passer il n’en avais pas non plus","Sylvain Laliberté 514-979-9208","","","","Nathalie Mora 514-984-6206","FALSE","","","","","","TRUE","FALSE","TRUE","maritime1@videotron.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3270","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","42","  538 ","","1138-ET","Carmichael","3822, ave de Courtrai","Outremont","14 octobre","12h-17h","","H3S 1C1","","APRÈS LE 1ER AVRIL ET NE PAS FAIRE LES VENDREDIS","","If there is no choice we will take the 13th of May but not happily. We had originally requested that they be removed mid April every year.","A la demande du client nous avons remplacé les moulures","FAire attention à la réinstallation ces moulures sont bombées.","FALSE","","2","2","","","TRUE","FALSE","TRUE","bfahey@carmichael-eng.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3270","TRUE","3136","FALSE","TRUE","3192","TRUE","TRUE","FALSE","65","  962 ","","1234-ET","SDC du Boisé de la Colline","24, rue Bates","Outremont","14 octobre","7h-12h","","H2V 1A8","","Choucri Craissati 514-236-5515: stationnement OUI","","This is not good service.","surcharge 3 h installation (comme neuf) Installation presque neuf le gars il a modifié toute l’entrée et la mezzanine (toutes les tapis j’ai les modifier avec les changements ça me pris 6.30h seul )   COUPER DES TAPIS SUITE AUX RÉNOVATIONS (DOMINIC)","Nous allons rénover notre Hall d’entrée à partir du 13 mars 2023. Est-ce que vous pouvez venir au plus tard le 10 mars pour retirer les tapis et les entreposer ?","FALSE","","","10","","","TRUE","FALSE","TRUE","conseilbdc@gmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3270","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","50","  885 ","","1359-ET","CLSC Outremont","1271, rue Van Horne","Outremont","14 octobre","7h-12h","","","","Catherine Durand à la réception de la clinique.
Le code des portes est  1-3-4","","","","","","","","","","","TRUE","FALSE","TRUE","huguette.stpierre.dlm@ssss.gouv.qc.ca","","Entre 9h et 17h","","","","","TRUE","","","","","","","","","","","","","","",""
"Résidences","3270","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","257","  1 941 ","","1297-ET","Les verrières du Golf","2400, rue des Nations, Saint-Laurent","Montréal","15 octobre","7h-12h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","cse@lesverrieresdugolf.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Commerce","3270","TRUE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  308 ","","10791-F","Dynatherm","4127, rue Cousens, Saint-Laurent","Richard Ross","15 octobre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","tbianco@dynatherm.ca","","","","","","","","","","","","","","","","","","","","","",""
"Condo","3270","TRUE","3136","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  2 095 ","","0812-ET","LE Sanctuaire,  phase 4","6111, du Boisé","Outremont","16 octobre","10,5-15","","H3S 1P1","","","","","","stationnement pour les entrepreneurs/visiteurs : Aimerait à la mi-avril soit un mercredi ou un jeudi.","FALSE","","2","3","","","TRUE","FALSE","TRUE","6111duboise@hotmail.ca","","18 oct Jan : J'ai nettoyé 3 petites taches évidentes avec du liquagel..l'état du reste des tapis ""acceptables "" mise à part quelques gommes . ","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3270","TRUE","3136","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  1 325 ","","1061-ET","6000 Deacon","6000 ch. Deacon","Outremont","16 octobre","12h-17h","","H3S 2T9","","","","","Manque moulure ascenseur x 7","","","","","","","","TRUE","TRUE","TRUE","info@6000deacon.ca","","L’ascenseur I-J-K n’a pas pu être installé à cause qu’il était hors service.","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3270","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","FALSE","100","  4 626 ","","1306-ET","SDC 6150 du Boisé","6150 du Boisé","Outremont","16 octobre","7-17","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","6150duboise@bellnet.ca","","FACTURE 4626pc +100pl moulures     même si 4410pc","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
