"  ","FAC/DEVIS _ ASP_Réinstallation  ","Réinstallation ","FAC/DEVIS _ ASP_retrait ","Rebut ","Retrait ","FAC/DEVIS _ ASP_nett+entreposage ","entreposage ","Nettoyer entrepôt "," Moulures  "," PC  "," Carreaux  "," # Projet "," Noms "," Adresse ","Ville ","BLEU : JOUR   GRIS : SOIR        DATE Réinstallation ","Heures ","Contact sur place ","Commentaires - Printemps 2025 ","Commentaires - Automne 2024 ","Commentaires - printemps 2024 ","Commentaires - Automne 2023 ","Commentaires - Printemps 2023 ","Code Postal ","Pickup fait ","pickup/ref ","Nbr gars ","H/ins  ","moulure  "," Moulure à changer  ","Courriel envoyé ","Confirmation ","Confirmation des dates de RDV ","Courriel ","","Commentaires - Automne  2024 ","Détail des tapis ","Fact # ","Nettoyer ","Payer  ","Sola Facture  ","Ajustement à faire ","Date prévue ","Fait ","","","","","","","","","","","",""
"Édifice","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","16","  895 ","","1243-ET","Allied Properties","755, rue Berri","Montréal","avr. 4","13h-14h","","il faut rajouter le 268pc à l’adresse du 755 Berri  (nouvelle quantité 895pc)","","","","","H2Y 3Y7","FALSE","","","5","","","TRUE","TRUE","FALSE","dbai@alliedreit.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","115","2077","","1316-ET","Novartis ","700 rue St-Hubert, Montréal","","avr. 4","14h-16h","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","michel.guerin@novartis.com","","manquait tapis #9 et #11 (sur les feuilles mais pas dans rouleaux , à trouver dans l'entrepôt) donc tapis #10 pas installé car entre les deux, #10 entreposé sur place selon directive du client, voir photo","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","35","4469","","1313-ET","Le Nordelec","1751, rue Richardson","","avr. 4","16h-22h","","***NE PAS ENLEVER LES TAPIS D'ASCENSEURS A-B ET F-G","","TOUTES LES TAPIS D'HIVER SUR PLACE","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","dmartos@alliedreit.com","","pas pu vérifier ascenseur D car hors service","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","350","","5877","1308-ET","Manuvie","900 de Maisonneuve O","Montréal",""," 10h-18h","","Il a planifié l'entretien ménager ","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","sylvain.cote@jll.com","","J’ai utiliser 5pied de moulure après la première réparation je me suis servie du morceau que j’ai couper pour réparer les autre et il manquait une moulure devans l’asc h que j’ai rajouterJan : ****Manque ascenseur E . Selon Alex tapis pas à l'entrepôt . Est-ce que lorsque l'installation initial l'ascenseur était hors d'usage donc jamais été installé à neuf ? ****J’ai utiliser 5pied de moulure après la première réparation je me suis servie du morceau que j’ai couper pour réparer les autre et il manquait une moulure devans l’asc h que j’ai rajouter","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","96","  642 ","","1185-ET","Bella Vista Phase II","3655, rue Jean Gascon","Saint-Laurent","avr. 7","13h-14h","","1ere semaine d'avril au 12 avril ","","","","","H4R 0K6","FALSE","","1","2","","","TRUE","TRUE","FALSE","jp@bv3655.ca","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","92","  558 ","","1186-ET","Bella Vista Phase I","3625, rue Jean-Gascon","Saint-Laurent","avr. 7","14h-15h","","1ere semaine d'avril au 12 avril ","","Commencer par le 3625","","","H4R 0K6","FALSE","","1","1","","","TRUE","TRUE","FALSE","bellavista3625@in.upperbee.com","","Les moulures du sous-sol n’ont pas pu être installé les moulures étaient vieilles","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","36","  3 418 ","","1274-ET","Allied - 1010 Sherbrooke Est","1010 Sherbrooke Est","Montréal","avr. 7","18h-22h","","","","","Pas pu installer ascenseur 9 hors d'usage","","H3A 2R7","","","","","","","TRUE","TRUE","FALSE","mcordeil@alliedreit.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","459","  4 103 ","","1180-ET","Allied - Viger","425, Viger Ouest","Montréal","avr. 9","18h-1h am ","","ajout laize centrale +918Pc ","","","Client veut soumission pour 6 tapis d'ascenseur et logo","","H2Y 3Y7","FALSE","","2","5","","","TRUE","TRUE","FALSE","jcampbell@alliedreit.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","","  295 ","","1270-ET","Héma-Québec","7, boul. des Promenades","St-Bruno","avr. 10","7h30-8h30","","","","NE PAS JETER LES TAPIS, ILS SONT NEUFS","","","J3V 5J5","","","","","","","TRUE","TRUE","FALSE","JeanGauthier.Kouadjo@hema-quebec.qc.ca",""," Les tapis de l'aile gauche pas installés cause rénovation ainsi que les ascenseur 1 et 2 - Nous avons laisser les tapis sur place + tape à la demande du concierge.- 5631pc pas bon feuille de pose neuf 5654+200pl moulures","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","","  1 154 ","","1209-ET","Résidence Vast (tapis pluie?)","300, rue de Murano","Sainte-Julie","avr. 10","9h-10h","","1ere semaine d'avril","","120PC tapis pluie logo - Inclus dans le service depuis +sieurs années svp penser à facturer pour les années suivantes","","A FAIRE LE PLUS RAPIDEMENT POSSIBLE","J3E 0C6","FALSE","","2","2","","","TRUE","TRUE","FALSE","cse@residencevast.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Résidence","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","23","879","","1195-ET","Cloria Vallée du Richelieu","4305, chemin du Crépuscule","Beloeil","avr. 10","10h30-11h30","","","","","Bonjour, je suis la personne ressource pour Cloria Vallée du Richelieu _ Normand St-Denis, vous pouvez aussi inscrire Mr. Philippe Turcotte 514-250-5456 au philippeturcotte@cloriacite.ca ,","787+92  -  louraymond@cloriacite.ca","J3G 0R2","FALSE","","2","2","","","TRUE","TRUE","FALSE","normandstdenis@cloriacite.ca","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Commerce","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","","  910 ","","1315-ET","CPE Pierre-Boucher","1200 du Tremblay","Longueuil","avr. 10","11h30-12h30","","","","À FAIRE, LE CLIENT A DEMANDÉ LE SERVICE À L'ACHAT DE CES TAPIS","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Commerce","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","16","  734 ","","1315-ET","CPE Pierre-Boucher","1450 Curé-Poirier E","Longueuil","avr. 10","12h30-13h30","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","","  341 ","","1287-ET","Édifice à bureaux (Expos)","2265, Fernand-Lafontaine","Longueuil","avr. 10","13h30-14h30","","","","","","","J4G 2R8","","","","","","","TRUE","TRUE","FALSE","gcote@prio.ca","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Commerce","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","12","  754 ","","1315-ET","CPE Pierre-Boucher","2070 rue Marie-Victorin","Longueuil","avr. 10","16h30-17h30","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","***2070 boulevard Marie victorin Longueuil pas fait car à l'agenda c'était 2070 rue Marie Victorien , Saint Bruno de Montar ville.. Je me suis rendu pour rien****","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","39","  1 035 ","","0970-ET","Les Jardins Windsor PH4","651, rue de la Montagne","Montréal","avr. 10","14h-15h","","","","","","","H3C 0G2","FALSE","","2","2","","","TRUE","TRUE","FALSE","gestionmtl4@gestactif.com; guy.gervais@gmail.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","50","852 ","","1346-ET","Le Gastby","1200 rue Drummond","Montréal","avr. 10","15h30-16h30","","","","","","","","","","","","","","TRUE","TRUE","FALSE","catherine.goulet@solutioncondo.com","","","","","","","","","","","","","","","","","","","","","",""
"Résidences","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","50","  760 ","","1314-ET","Cloria cité","3475, Montée Gagnon","Terrebonne","avr. 11","9h-10h","","","","AJOUT POUR LE SERVICE D'ENTRETIEN ","","","","","FALSE","","","","","TRUE","TRUE","TRUE","nancycanuel@cloriacite.ca","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","78","  760 ","","1327-ET","CCRL Laurentides","325 Rue du Docteur-Charles-Léonard, ","St-Jérôme","avr. 11","10h30-11h30","","Marie-Gabrielle Beaudry : 514-293-9923 : Stationnement payant sur place","","","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","mgbeaudry@ccrlaurentides.com;mcroizer@ccrlaurentides.com","","manque un tapis à installer au deuxième étage","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","165","  1 246 ","","1310-ET","Résidence du marché","25, rue du Marché","Ste-Thérèse","avr. 11","12h-14h","","contacter Louis Philippe ou Yvon : 450-433-6544","","","","","J7E 5T2","FALSE","","2","3","","","TRUE","FALSE","TRUE","cse@lesresidencesdumarche.com","","1080pc pas bon - neuf feuille de po 1246 pc","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","0","1 080 ","","1341-ET","CSSL (Horizon-Jeunesse)","155 boulevard St-Rose, Laval","Laval","avr. 11","14h30-15h30","","Entrée 10,11, 12 et tapis devant les casiers seulement ","","","","","","","","","","","","TRUE","TRUE","TRUE","jfcloutier@csslaval.gouv.qc.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice médical","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","13","  1 030 ","","1001-ET","Édifice E","3310, 100e Avenue","Laval","avr. 11","16h-17h","","M. Serge Boyer. Vous pouvez le rejoindre au (514) 793-2540.","","","","","H7T 0J7","FALSE","","2","2","","","TRUE","FALSE","TRUE","dbourgault@e-propri-gestion.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","21","1030","","1320-ET","WADA","800 du Square Victoria, 16e et 17e étages","Montréal","11 avr.","15h30-17h","","","","C'est confirmer avec le client par téléphone","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","mariela.rolon@wada-ama.org / corposvcs@wada-ama.org","","plancher blanc a faire plus tôt dans la saison","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","","1036","","1304-ET","Clinique Quatuor MD - 27e étage","800 rue du Square Victoria","Montréal","11 avr.","14h-1530","","Furna à la réception","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","thomasg@quatuormd.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","  47 666 ","","","1/4","","","","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3129","FALSE","TRUE","3192","TRUE","TRUE","330","  13 745 ","1192","1312-ET","Place Victoria (tapis d'hiver)","800, rue du Square Victoria","Montré","","17h-23 12h-22h","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","TRUE","jtousignant@groupepetra.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3129","FALSE","TRUE","3192","TRUE","TRUE","","  9 088 ","","1182-ET","Tour Deloitte","1115 St-Antoine ","Montréal ","avr. 13","12h-22h","","","","","***Reste à installer tapis #51, 52 et 53 qui doivent être coupés par Dominic dû au nouveau kiosque de restauration. Et reste insertion #84 à installer ****","","","FALSE","","4","8","","","TRUE","FALSE","TRUE","elliott.parsons@cadillacfairview.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3132","FALSE","TRUE","3192","FALSE","FALSE","","  890 ","","1312-ET","Place Victoria (tapis de pluie_ installation)","800, rue du Square Victoria","Montréal","avr. 14","17h-23 12h-22h","","Personne sur place : Agents de sécurité (Sinon : Jennifer au 514-966-7588)
Stationnement : il y a un stationnement intérieur payant pour les voitures des travailleurs. Sinon, une place est réservée au quai de marchandises pour le camion pour samedi (svp préciser les heures) Hauteur maximale quai 11 pi 4 po.","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","TRUE","","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","6","  765 ","","1311-ET","Caserne place d'Youville","335 Place d'Youville","Montréal","avr. 14","17h-18h","","","","OUI - Peux-tu le faire en même temps que le musée ?","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","TRUE","Sandra.Lopez@gdi.com; Francisco.Meneses@gdi.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Commerce","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","30","  1 235 ","","1319-ET","Club MAA","2070, rue Peel","Montréal","avr. 16","8h-10h","","Si possible, semaine du 7 avril entre 8h et 11h","","AJOUT POUR LE SERVICE D'ENTRETIEN(si possible sermaine du 15 avril)","","","","","","","","","","TRUE","FALSE","TRUE","dabreu@clubsportifmaa.com;pblanchet@clubsportifmaa.com","","À FAIRE ENTRE 8h00 et 10h30","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Bureau","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","30","  234 ","","1331-ET","LDC Logistics","1002, rue Sherbrooke O., Suite 2000","Montréal","avr. 16","10h30-11h30","","","","A FAIRE","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","okovalska@MetroSCG.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","8","360 ","","1343-ET","Edifice 1555 de l'Avenir","1555, boul. de l'Avenir, Laval","Laval","avr. 17","7h-11h","","Cathy: 450-436-8985","","","","","","","","","","","","TRUE","FALSE","TRUE","cathyboucher@groupechameleon.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","8","498 ","","1344-ET","Edifice 1565 de l'Avenir","1565, boul. de l'Avenir, Laval","Laval","avr. 17","7h-11h","","","","","","","","","","","","","","TRUE","FALSE","TRUE","cathyboucher@groupechameleon.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","20","924 ","","1345-ET","Edifice 1575 de l'Avenir","1575, boul. de l'Avenir, Laval","Laval","avr. 17","7h-11h","","","","","","","","","","","","","","TRUE","FALSE","TRUE","cathyboucher@groupechameleon.ca","","","","","","","","","","","","","","","","","","","","","",""
"Édifice médical","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","43","  265 ","","0786-ET","Clinique Uniderma","1575, boul. de l'Avenir","Laval","avr. 17","7h-11h","","450 629-3375 sera sur place à partir de 7h","","***COMMENCER PAR LA CLINIQUE EN PREMIER LE 7 MAI***","","","H7S 2N5","FALSE","","1","1","","","TRUE","TRUE","TRUE","drejodoin@uniderma.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","","  530 ","","0981-ET","Traditours","1575, de l'Avenir","Laval","avr. 17","7h-11h","","","","","","","H7S 2N5","FALSE","","1","1","","","TRUE","FALSE","TRUE","info@traditours.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Commerce","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","","  156 ","","1230-ET","Bédard Ressources #310","1575, boul. de l'Avenir","Laval","avr. 17","7h-11h","","Stationnement Oui : Christiane (514) 261-1067","","","","Melissa Célissaint 514-212-2230 #360","H7S 2N5","FALSE","","","4","","","TRUE","FALSE","TRUE","christiane@bedardressources.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","24","  262 ","","1322-ET","Ortho-Laval - Dr. Jean-Marc Dumoulin","1575 boul. de l'Avenir, 3e étage","Laval","avr. 17","7h-11h","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","clinique@ortholaval.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","44","  446 ","","1288-ET","CHSLD Val des Brises","3155, boul. Michel-Ange","Laval","avr. 17","11h30-12h30","","","","","","","H7E 0J1","","","","","","","TRUE","FALSE","TRUE","mclavoie@alcovicapital.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","","  1 014 ","","1279-ET","Académie Lavalloise","5290, boul. des Laurentides","Laval","avr. 17","13h-14h","","La personne responsable sera Mme Patrizia à la réception.","","","J'ai dû couper des tapis car les portes ne fermaient plus et aux extrémités car les tapis ont rallongés","","H7K 2J8","","","","","","","TRUE","FALSE","TRUE","anthony.lacopo@academielavalloise.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","","  570 ","","1330-ET","Académie de Danse de Montréal","8265 Boul. Langelier","St-Léonard","","14h30-15h30","","Melanie Hattem will be on location,Yes there is parking ","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","jeffdichter1@gmail.com","","**manque tapis #2 et #6 (était sur feuille mais pas dans rouleau. Voir photos. Tapis #5 trop court (devrait avoir deuxième morceaux mais pas sur plan . Manque environ 7 pieds. Tapis 2A j'ai laissé à l'entrepôt car mini tapis besoin du #2 pour installer ***  IL FAUT APPELER LE CLIENT AVANT DE PASSER PARCE QUE L'HORAIRE N'EST PAS FIXE.","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3132","TRUE","TRUE","3192","TRUE","TRUE","","  1 004 ","","1213-ET","Centre d'intégration Scolaire","8844, rue Notre-Dame Est","Montréal","","16h-17h","","Personne responsable sur place ou code d'accès : Sylvain Langlois 514-961-2176
Avons-nous accès à un stationnement oui","","","","","H1L 3M4","FALSE","","2","2","","","TRUE","FALSE","TRUE","ychouinard@cisi.qc.ca","","pas fait car personne sur place","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
